epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3787,3.02077,3.78407,2.2995,0.00451,0.28797,0.00337,0.00118,2.0403,21.7025,1.74307,0.00014,0.00014,0.00014
2,40.8914,2.58643,3.36459,2.01585,0.00917,0.5858,0.03395,0.00929,1.81603,22.228,1.47253,0.00029406,0.00029406,0.00029406
3,57.319,2.45097,2.57698,1.71173,0.01046,0.66864,0.068,0.01603,1.72375,22.1182,1.36715,0.000441784,0.000441784,0.000441784
4,73.7237,2.25999,2.39269,1.66998,0.0117,0.74753,0.14213,0.03947,1.64433,18.5074,1.349,0.000583172,0.000583172,0.000583172
5,89.8929,2.19016,2.2656,1.65183,0.0117,0.74753,0.23855,0.08912,1.61888,15.747,1.31771,0.000718224,0.000718224,0.000718224
6,105.944,2.09594,2.29248,1.67372,0.05583,0.43195,0.13124,0.04639,1.54858,17.0775,1.35058,0.00084694,0.00084694,0.00084694
7,122.348,2.06928,2.14295,1.72628,0.43676,0.15976,0.20026,0.07659,1.52588,20.8958,1.38619,0.00096932,0.00096932,0.00096932
8,138.725,2.10379,2.15043,1.68262,0.37604,0.26233,0.23906,0.08554,1.52275,22.1209,1.35302,0.00108536,0.00108536,0.00108536
9,154.908,2.01284,2.06647,1.62963,0.24857,0.22288,0.16267,0.0614,1.56606,18.8424,1.35185,0.00119507,0.00119507,0.00119507
10,170.845,2.02345,2.01627,1.61853,0.32603,0.32742,0.23418,0.08219,1.57297,17.696,1.36102,0.00129844,0.00129844,0.00129844
11,187.321,2.08486,2.19658,1.59496,0.23204,0.29389,0.15707,0.05782,1.63795,21.6375,1.3734,0.00139548,0.00139548,0.00139548
12,204.118,2.02439,2.02434,1.61883,0.23183,0.34122,0.15476,0.05956,1.59796,24.28,1.32375,0.00148618,0.00148618,0.00148618
13,220.582,1.97983,1.94174,1.59068,0.38396,0.31558,0.26588,0.09565,1.60346,19.8894,1.29746,0.0015248,0.0015248,0.0015248
14,237.052,1.99522,1.94543,1.5746,0.40143,0.4061,0.3241,0.12494,1.56206,17.4685,1.27291,0.0014852,0.0014852,0.0014852
15,253.539,1.97666,1.92521,1.60557,0.3023,0.40849,0.27001,0.10568,1.57081,16.1191,1.33671,0.0014456,0.0014456,0.0014456
16,269.971,1.98876,1.89305,1.62743,0.49288,0.38659,0.35142,0.12832,1.58643,13.9033,1.33867,0.001406,0.001406,0.001406
17,286.876,1.99894,1.88428,1.60138,0.54901,0.38177,0.42587,0.16458,1.54139,14.2322,1.31325,0.0013664,0.0013664,0.0013664
18,304.044,1.9497,1.8338,1.55348,0.54075,0.46943,0.48686,0.19272,1.49822,13.9579,1.26249,0.0013268,0.0013268,0.0013268
19,320.92,1.92967,1.76602,1.55691,0.52683,0.49704,0.49564,0.20519,1.46718,12.4275,1.22441,0.0012872,0.0012872,0.0012872
20,338.049,1.98379,1.84045,1.58525,0.426,0.47535,0.41448,0.1616,1.52959,13.6693,1.24823,0.0012476,0.0012476,0.0012476
21,354.866,1.92096,1.69902,1.50968,0.56091,0.52268,0.53613,0.23012,1.43668,13.9759,1.18672,0.001208,0.001208,0.001208
22,371.578,1.8864,1.73261,1.50789,0.5775,0.50296,0.51429,0.21333,1.48888,10.0126,1.19784,0.0011684,0.0011684,0.0011684
23,388.121,1.93092,1.74371,1.55747,0.61517,0.52071,0.57207,0.25074,1.43308,9.1449,1.19449,0.0011288,0.0011288,0.0011288
24,404.671,1.8989,1.63812,1.51921,0.57956,0.50842,0.52608,0.22904,1.42525,9.1115,1.20079,0.0010892,0.0010892,0.0010892
25,421.395,1.89066,1.64662,1.46652,0.62735,0.54456,0.59154,0.26372,1.41109,8.3271,1.20824,0.0010496,0.0010496,0.0010496
26,437.967,1.8871,1.63249,1.48594,0.58599,0.51479,0.55452,0.22264,1.51267,7.71979,1.26636,0.00101,0.00101,0.00101
27,454.539,1.84355,1.58098,1.45428,0.5496,0.55424,0.56526,0.24169,1.46149,7.47998,1.19304,0.0009704,0.0009704,0.0009704
28,471.093,1.82699,1.65569,1.49218,0.62206,0.57988,0.63388,0.29398,1.33772,7.76011,1.11053,0.0009308,0.0009308,0.0009308
29,487.525,1.81197,1.58199,1.48297,0.65613,0.62525,0.67265,0.31548,1.33283,7.74705,1.10383,0.0008912,0.0008912,0.0008912
30,503.413,1.82047,1.58733,1.49193,0.66479,0.62722,0.69402,0.32605,1.31051,7.66791,1.08703,0.0008516,0.0008516,0.0008516
31,519.356,1.77783,1.47463,1.41848,0.67887,0.67131,0.70392,0.32183,1.29647,6.90778,1.08,0.000812,0.000812,0.000812
